route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
4769,0,offpeak,20.62113918,6,14324.4971965278
4769,0,peak,18.14137504,6,14324.4971965278
4769,0,all_day,19.2199669,6,14324.4971965278
22f56050-8c4c-46d6-9df4-0991acf5853c,0,offpeak,12.71717924,3,22710.2181135953
22f56050-8c4c-46d6-9df4-0991acf5853c,0,peak,13.56488048,3,22710.2181135953
22f56050-8c4c-46d6-9df4-0991acf5853c,0,all_day,13.08794064,3,22710.2181135953
16684,0,offpeak,22.32663576,8,11360.419000465
16684,0,peak,20.04503871,8,11360.419000465
16684,0,all_day,20.3923604,8,11360.419000465
16684,1,peak,32.23847295,8,10073.2333876404
16684,1,all_day,32.23847295,8,10073.2333876404
3433,0,peak,18.87824883,3,36642.0457706423
3433,0,all_day,18.87824883,3,36642.0457706423
3433,1,offpeak,23.59530585,3,36761.4129077421
3433,1,all_day,23.59530585,3,36761.4129077421
1X,1,offpeak,16.04462776,7,19685.6474084156
1X,1,peak,16.32984467,7,19685.6474084156
1X,1,all_day,16.20637657,7,19685.6474084156
1X,0,offpeak,15.30149699,7,19020.215568134
1X,0,peak,14.35485232,7,19020.215568134
1X,0,all_day,14.74582403,7,19020.215568134
116,0,offpeak,20.92120523,1,15919.7496920222
116,0,peak,19.81225626,1,15919.7496920222
116,0,all_day,20.35005622,1,15919.7496920222
1693,0,offpeak,14.56836355,7,21203.7296304787
1693,0,peak,14.33716421,7,21203.7296304787
1693,0,all_day,14.41035874,7,21203.7296304787
15N,1,offpeak,33.71183537,5,55438.4476404937
15N,1,peak,36.23725205,5,55438.4476404937
15N,1,all_day,35.21715079,5,55438.4476404937
3428,0,peak,18.41295328,3,34218.2268343948
3428,0,all_day,18.41295328,3,34218.2268343948
3428,1,offpeak,23.97174198,3,34561.7558916006
3428,1,all_day,23.97174198,3,34561.7558916006
5,0,offpeak,12.45820561,4,9967.86228439707
5,0,peak,12.26328135,4,9967.86228439707
5,0,all_day,12.34202047,4,9967.86228439707
805,0,offpeak,22.56817383,7,11455.9051901881
805,0,peak,21.31802587,7,11455.9051901881
805,0,all_day,21.98354751,7,11455.9051901881
3431,0,peak,21.05213377,3,40989.1028725763
3431,0,all_day,21.05213377,3,40989.1028725763
3431,1,offpeak,25.7684218,3,39639.9665392793
3431,1,all_day,25.7684218,3,39639.9665392793
3435,0,peak,18.44870147,3,33642.2727700651
3435,0,all_day,18.44870147,3,33642.2727700651
3435,1,offpeak,23.26603651,3,33757.5247866073
3435,1,peak,20.91339721,3,33757.5247866073
3435,1,all_day,22.03522173,3,33757.5247866073
6,0,offpeak,13.51147898,4,7652.64883219095
6,0,peak,12.58329974,4,7652.64883219095
6,0,all_day,12.94151133,4,7652.64883219095
6,1,offpeak,14.29340694,4,7199.7056970979
